  115.78,  -32.02,         BLA
  115.87,  -32.03,         SAL
  115.85,  -31.96,         NAR
  115.90,  -32.03,         RIV
  115.85,  -32.02,         SCB
  115.84,  -31.99,         HEA
  115.81,  -32.01,         ARM
  115.89,  -31.95,         NIL
  115.91,  -31.95,         STJ
  115.91,  -31.94,         MAY
  115.94,  -31.92,         RON
  115.96,  -31.91,         KIN
  115.96,  -31.90,         SUC
  115.96,  -31.88,       SWN12
  116.01,  -31.86,         MSB
  116.02,  -31.75,        SWN3
