ISOTime,Wx,Wy,Atemp,Rel_Hum,Sol_Rad,LW_Net,Clouds
01/10/2017 01:00:00,0.0292,0.0090,13.8800,92.1900,0.0000,-81.0937,0.8988
01/10/2017 02:00:00,-0.0066,-0.0090,13.2100,92.5900,0.0000,-81.8549,0.8988
01/10/2017 03:00:00,-0.0160,-0.0110,12.9500,93.3100,0.0000,-81.9129,0.8988
01/10/2017 04:00:00,-0.0208,-0.0224,12.6100,94.0100,0.0000,-82.0830,0.8988
01/10/2017 05:00:00,-0.0201,-0.0458,11.7900,93.8500,0.0000,-83.1703,0.8988
01/10/2017 06:00:00,-0.3741,-1.2711,14.4900,89.5000,0.6111,-81.3725,0.8988
01/10/2017 07:00:00,-0.5102,-1.2379,15.3700,84.1700,71.6111,-82.5200,0.8988
01/10/2017 08:00:00,-0.2954,-1.3002,17.1900,75.2800,105.0833,-84.3529,0.8988
01/10/2017 09:00:00,-0.5471,-0.9830,20.3500,61.2400,516.5278,-52.3241,0.5328
01/10/2017 10:00:00,-0.5129,-1.7428,25.0600,41.5100,758.6111,-15.2807,0.1398
01/10/2017 11:00:00,-0.8894,-2.2351,28.8100,30.0900,895.2500,-4.3644,0.0365
01/10/2017 12:00:00,1.0591,-2.5319,31.5100,20.3900,978.5556,-4.9157,0.0365
01/10/2017 13:00:00,2.5587,0.1117,27.1800,43.6400,980.6944,-3.7676,0.0365
01/10/2017 14:00:00,2.2728,-0.2710,25.6700,44.3800,911.8889,-3.8354,0.0365
01/10/2017 15:00:00,2.0510,-0.9046,27.4200,29.8000,781.9167,-4.4436,0.0365
01/10/2017 16:00:00,1.6643,1.0000,27.0600,29.1100,585.9722,-4.4962,0.0365
01/10/2017 17:00:00,-0.1788,-1.0036,26.6200,27.6300,344.2222,-33.6412,0.2674
01/10/2017 18:00:00,0.1757,-0.6747,26.0600,25.2700,110.8889,-100.7516,0.7756
01/10/2017 19:00:00,-0.0027,-0.0611,22.0300,35.9900,0.8056,-107.0097,0.8988
01/10/2017 20:00:00,-0.0057,-0.0157,19.3000,43.7800,0.0000,-102.3048,0.8988
01/10/2017 21:00:00,-0.0384,-0.0578,19.1900,44.4900,0.5278,-101.8383,0.8988
01/10/2017 22:00:00,-0.0659,-0.0859,18.1100,48.2900,0.0278,-99.9032,0.8988
01/10/2017 23:00:00,-0.0431,-0.1810,17.9500,50.0100,0.1667,-98.8342,0.8988
02/10/2017 00:00:00,-0.2322,-0.4740,17.0500,54.8600,0.0000,-96.4279,0.8988
02/10/2017 01:00:00,-0.3586,-0.6745,17.7100,49.3200,0.0000,-99.5123,0.8988
02/10/2017 02:00:00,-0.1929,-0.4703,16.6500,53.0600,0.0000,-97.9145,0.8988
02/10/2017 03:00:00,-0.2355,-0.4411,15.8500,55.9600,0.0000,-96.7971,0.8988
02/10/2017 04:00:00,-0.2570,-0.6838,16.4200,51.9300,0.0000,-98.8124,0.8988
02/10/2017 05:00:00,-0.2360,-1.0060,15.6800,54.6600,0.0000,-97.7058,0.8988
02/10/2017 06:00:00,-0.2003,-0.9343,15.1500,56.5200,0.6389,-97.0283,0.8988
02/10/2017 07:00:00,-0.4611,-1.2333,15.7200,52.3800,63.3333,-99.0512,0.8988
02/10/2017 08:00:00,-0.5874,-1.2830,17.3000,47.9200,174.4167,-100.7933,0.8988
02/10/2017 09:00:00,-0.6262,-1.0979,19.9700,42.4000,353.6111,-60.0062,0.5242
02/10/2017 10:00:00,-0.3115,-1.1157,22.9200,37.1800,542.2500,-15.9504,0.1364
02/10/2017 11:00:00,0.3226,-1.5444,25.2400,33.5100,636.3333,-4.3418,0.0365
02/10/2017 12:00:00,0.9078,-1.2495,26.2200,31.6500,699.3889,-4.3942,0.0365
02/10/2017 13:00:00,1.5872,-0.7502,26.6700,30.7100,626.2222,-4.4250,0.0365
02/10/2017 14:00:00,0.8966,-1.0388,25.9500,33.9300,389.5556,-23.8615,0.2030
02/10/2017 15:00:00,0.1943,-1.1250,25.6500,33.6400,301.3889,-40.1827,0.3397
02/10/2017 16:00:00,1.1233,1.1000,24.6300,39.0900,224.8056,-54.1982,0.4807
02/10/2017 17:00:00,1.0774,0.3943,22.4200,55.7700,113.5278,-76.2705,0.7687
02/10/2017 18:00:00,0.3957,-0.0346,22.1600,51.2900,38.1389,-93.1780,0.8988
02/10/2017 19:00:00,0.3436,-0.0668,21.4200,52.2900,0.7778,-93.3733,0.8988
02/10/2017 20:00:00,-0.0003,-0.1889,20.5000,56.4500,0.0000,-91.4558,0.8988
02/10/2017 21:00:00,-0.1993,-0.8634,20.7100,57.8800,0.0000,-90.1266,0.8988
02/10/2017 22:00:00,-0.3446,-0.8704,20.5000,59.1000,0.0000,-89.5517,0.8988
02/10/2017 23:00:00,-0.1691,-0.3128,19.6300,64.0900,0.0000,-87.4156,0.8988
03/10/2017 00:00:00,0.1248,-0.0074,18.8200,69.5200,0.0000,-85.2110,0.8988
03/10/2017 01:00:00,0.1133,-0.0528,18.5900,76.7100,0.0000,-81.3575,0.8988
03/10/2017 02:00:00,0.1434,-0.1734,18.4100,85.5900,0.0000,-76.7843,0.8988
03/10/2017 03:00:00,-0.2786,-0.7913,17.1800,83.2700,0.0000,-80.1642,0.8988
03/10/2017 04:00:00,-0.0781,-0.3980,16.0900,82.4300,0.0000,-82.2992,0.8988
03/10/2017 05:00:00,-0.1451,-0.2104,15.6300,85.8100,0.0000,-81.3652,0.8988
03/10/2017 06:00:00,-0.1318,-0.2788,15.6600,87.8600,0.8056,-80.3596,0.8988
03/10/2017 07:00:00,-0.0726,-0.1834,15.7900,88.4700,56.5833,-79.8711,0.8988
03/10/2017 08:00:00,-0.2749,0.0396,18.1300,82.2100,206.1389,-79.1031,0.8988
03/10/2017 09:00:00,0.2725,-0.6327,20.4400,74.3100,443.5278,-45.6608,0.5161
03/10/2017 10:00:00,0.8506,0.2279,21.6700,68.0800,510.1389,-12.0726,0.1334
